,month,district,r2 score,error score,mse,seasonal_month
0,1,Del Puerto,0.6020401291294475,0.07268635512212455,0.4653109242818855,8
1,1,Turlock,-0.03597305071147194,0.007106361793534509,0.27837371096184305,8
2,1,Modesto,0.04681143105269581,0.1474841396040123,0.729481047663753,8
3,1,Merced,-0.7426715668696953,0.8930586779230679,4.9608050603557325,8
4,1,South Sutter,-1.147274327149224,0.1517130867707527,0.44555942288346406,8
5,1,South San Jaoquin,0.0,8.613239645325977e-11,4.306619822662989e-09,8
6,1,Oakdale (Tier1),-0.16666666666666696,0.010802469135802465,0.27999999999999997,8
7,1,Oakdale (Tier2),-0.16666666666666718,0.7827416341090538,2.106514285714286,8
8,1,Central California,-1.7857142857142856,0.04102891156462585,1.0833333333333333,8
9,1,Fresno,-7.723131678199579,0.11686266211250393,3.4074733117967106,8
10,1,Tulare,0.22045339767651417,22.211378217224876,0.6981269369893811,8
11,1,Westlands,-1.809560272688644,0.09910438290999023,1.0833549735557915,8
12,2,Del Puerto,0.4130518670107378,0.14482853059781525,0.686283714157698,9
13,2,Turlock,-1.1837525308843562,0.017868214807560297,0.5867906461728033,9
14,2,Modesto,0.3567466518405693,0.0939495566634571,0.49228572563221723,9
15,2,Merced,-0.10671368629879141,0.3215838274798046,3.150444960330559,9
16,2,South Sutter,0.744241779281274,0.020795918209657767,0.05306983079913565,9
17,2,South San Jaoquin,0.0,8.613239645325977e-11,4.306619822662989e-09,9
18,2,Oakdale (Tier1),-0.16666666666666696,0.010802469135802465,0.27999999999999997,9
19,2,Oakdale (Tier2),-0.16666666666666718,0.7827416341090538,2.106514285714286,9
20,2,Central California,-1.7857142857142856,0.04102891156462585,1.0833333333333333,9
21,2,Fresno,-1.7531378163110731,0.047857276428951635,1.075444459496513,9
22,2,Tulare,0.24481118065568108,0.48424464336333933,0.6763132001679851,9
23,2,Westlands,-0.5813010071107008,0.05419187011088753,0.6097432140520613,9
24,3,Del Puerto,0.1037520365809722,0.2342021953938939,1.0479297003790546,10
25,3,Turlock,0.10916988903266489,0.006711124809398951,0.23937271694106382,10
26,3,Modesto,0.523576831840411,0.05785874750870008,0.36460956746907314,10
27,3,Merced,-0.10671368629879141,0.3215838274798046,3.150444960330559,10
28,3,South Sutter,0.6291997032163192,0.03836676464669924,0.07694106158261377,10
29,3,South San Jaoquin,0.0,0.006412318901998333,0.32061594509991664,10
30,3,Oakdale (Tier1),-0.16666666666666696,0.010802469135802465,0.27999999999999997,10
31,3,Oakdale (Tier2),-0.16666666666666718,0.7827416341090538,2.106514285714286,10
32,3,Central California,-1.7857142857142856,0.04102891156462585,1.0833333333333333,10
33,3,Fresno,-0.9524845415080654,0.040981894621575414,0.762689274026588,10
34,3,Tulare,0.5236366349640408,0.09371787693539525,0.42660964198328516,10
35,3,Westlands,-1.5027569867764399,0.09026034578754079,0.9650528787663554,10
36,4,Del Puerto,0.8384379943257045,0.029713898207872826,0.1889048914019648,11
37,4,Turlock,-0.3459578961886256,0.010065662515403306,0.36166895857291415,11
38,4,Modesto,0.6572623058920014,0.03663063632852471,0.2622992556948968,11
39,4,Merced,-0.011987471530411575,0.3089437981966489,2.880791002289905,11
40,4,South Sutter,0.15709957869644753,0.04966124004408492,0.17490183742048715,11
41,4,South San Jaoquin,0.0,4.456978786038235e-11,2.2284893930191174e-09,11
42,4,Oakdale (Tier1),-0.16666666666666696,0.010802469135802465,0.27999999999999997,11
43,4,Oakdale (Tier2),-0.16666666666666718,0.7827416341090538,2.106514285714286,11
44,4,Central California,-1.7857142857142856,0.04102891156462585,1.0833333333333333,11
45,4,Fresno,-3.502810872295213,0.07732964794837215,1.7589104969903175,11
46,4,Tulare,0.2655361403407299,0.4694406748905499,0.6577528567824495,11
47,4,Westlands,-0.4959973633594794,0.05967589360007202,0.5768504771997282,11
48,5,Del Puerto,0.6736025633125071,0.11264466156907435,0.38163720531937123,12
49,5,Turlock,-1.835613294722822,0.01681597798538102,0.761950511321336,12
50,5,Modesto,0.5930587252661345,0.07268647427194784,0.3114346490310195,12
51,5,Merced,0.1343602179192892,0.28941552838570445,2.4641879129897566,12
52,5,South Sutter,0.1977057433394187,0.05746979230327167,0.16647605825707062,12
53,5,South San Jaoquin,0.0,4.456978786038235e-11,2.2284893930191174e-09,12
54,5,Oakdale (Tier1),-0.16666666666666696,0.010802469135802465,0.27999999999999997,12
55,5,Oakdale (Tier2),-0.16666666666666718,0.7827416341090538,2.106514285714286,12
56,5,Central California,-1.7857142857142856,0.04102891156462585,1.0833333333333333,12
57,5,Fresno,-0.5611893623876676,0.03107339385484427,0.6098395946826827,12
58,5,Tulare,0.9749197247935323,0.025057100110711324,0.02246076842174,12
59,5,Westlands,-0.7886126836536234,0.1051747999643904,0.6896817503569039,12
60,6,Del Puerto,0.31619529881782404,0.1244844548047237,0.7995323670181669,1
61,6,Turlock,-3.673341170233054,0.030903664795143473,1.2557617432761388,1
62,6,Modesto,0.37923946089467875,0.07970331947326159,0.47507184115203144,1
63,6,Merced,-0.18110682065943862,0.4528477463723515,3.3622174161438685,1
64,6,South Sutter,-1.6217373412179632,0.1341933716281476,0.5440104983027274,1
65,6,South San Jaoquin,0.0,0.006417553079418861,0.3208776539709431,1
66,6,Oakdale (Tier1),-0.16666666666666696,0.010802469135802465,0.27999999999999997,1
67,6,Oakdale (Tier2),-0.16666666666666718,0.7827416341090538,2.106514285714286,1
68,6,Central California,-1.7857142857142856,0.04102891156462585,1.0833333333333333,1
69,6,Fresno,-5.948451825127868,0.10113520733238636,2.7142389941905734,1
70,6,Tulare,-0.7874619054692644,164.89130106313067,1.6007706291465993,1
71,6,Westlands,-0.7680567872460391,0.09258713737675449,0.6817554806037575,1
72,7,Del Puerto,0.27122395813160627,0.14504415295893852,0.8521146941134186,2
73,7,Turlock,-0.2812312923084297,0.01009817267211422,0.34427643575804645,2
74,7,Modesto,0.2553691119059094,0.09098552239442607,0.5698705776230284,2
75,7,Merced,-3.7030858063105168,3.1900818968691453,13.388117595297269,2
76,7,South Sutter,-1.7614802809675183,0.0977897198041696,0.5730071583007601,2
77,7,South San Jaoquin,0.0,4.0707488681489063e-10,2.0353744340744536e-08,2
78,7,Oakdale (Tier1),-0.16666666666666696,0.010802469135802465,0.27999999999999997,2
79,7,Oakdale (Tier2),-0.16666666666666718,0.7827416341090538,2.106514285714286,2
80,7,Central California,-1.7857142857142856,0.04102891156462585,1.0833333333333333,2
